session_id,participant_id,validation_type,timestamp,calibration_accuracy,glasses,total_duration_ms,total_duration_sec,completed_tasks,total_tasks,completion_rate,avg_task_duration_ms,avg_valence,std_valence,min_valence,max_valence,avg_negative_prob,max_negative_prob,total_samples,emotion_distribution,negative_emotions_ratio,modal_shown_count,modal_closed_count,total_clicks,error_corrections,total_interactions,total_fixations,total_gaze_distance,avg_gaze_speed,fixations_per_second
session_1777274219729_tenpfi0wh,68,modal,1777274219729,17,False,109905,109.905,2,2,1.0,54952.5,-0.006055513139080413,0.028993802060172866,-0.3840026710411226,0.004936632526366402,0.01232145589939541,0.9599050303070431,621.0,"{'neutral': 616, 'sad': 5}",0.008051529790660225,4,4,20,2,34,779,193794.17545994592,1645.6147503476948,6.614924764783805
session_1777274574399_6tiw0aoaf,55,inline,1777274574399,34,False,108497,108.497,2,2,1.0,54248.5,-0.025877884190678734,0.051515801055833255,-0.3272315466752154,0.20726272366205192,0.06552330322908548,0.8179680367125499,586.0,"{'neutral': 573, 'sad': 13}",0.02218430034129693,1,0,20,0,44,666,150061.8296493399,1279.026888125633,5.676539526955039
session_1777274580970_v70e800z8,67,inline,1777274580970,46,False,106675,106.675,2,2,1.0,53337.5,-0.003203176443562331,0.018469949124846313,-0.18811161978239674,0.0309347224482849,0.008619820500017666,0.47019842691820024,685.0,{'neutral': 685},0.0,1,0,12,0,32,1253,422778.9816281559,3581.567578155045,10.614775971468024
session_1777275032043_5uo635g35,60,modal,1777275032043,53,False,134599,134.599,2,2,1.0,67299.5,0.17637523509627892,0.28381192093247365,-0.2791653348134787,0.7999999990169588,0.05703114825085621,0.7027449484839963,868.0,"{'neutral': 644, 'happy': 210, 'sad': 14}",0.016129032258064516,9,9,48,8,73,1656,431391.7535753067,3088.4289345311186,11.855670103092782
session_1777275058368_lb81ibf6p,4,modal,1777275058368,33,False,122340,122.34,2,2,1.0,61170.0,0.2260852386854969,0.3965694778282769,-0.3806343378309368,0.8000000040103298,0.10550294825092953,0.9528298650074483,649.0,"{'neutral': 386, 'happy': 218, 'sad': 45}",0.06933744221879815,6,6,23,2,41,779,216840.0586571527,1677.367905821377,6.025960363259434
session_1777275430675_vzg5wdnvu,107,modal,1777275430675,35,False,113805,113.805,2,2,1.0,56902.5,0.273722664665318,0.3745946480864694,-0.7027267803081486,0.7999999999999995,0.030674518126166703,0.9682731316587478,627.0,"{'neutral': 390, 'happy': 224, 'sad': 12, 'angry': 1}",0.02073365231259968,8,7,25,3,46,775,222267.71575830138,1794.1165397362224,6.25570075956315
session_1777276065546_8fdxvj8jj,16,modal,1777276065546,21,True,79489,79.489,2,2,1.0,39744.5,0.3112709050046881,0.35518810085528685,-0.1687796283440548,0.8000000020987285,0.003489599561755396,0.5065872799095814,359.0,"{'neutral': 216, 'happy': 140, 'surprised': 2, 'sad': 1}",0.002785515320334262,7,7,19,2,39,569,178424.36741574446,2084.1289952896764,6.646342175654998
session_1777276374641_ldj4h20uu,102,modal,1777276374641,32,False,105216,105.216,2,2,1.0,52608.0,-0.003070719178032031,0.03341428348626048,-0.6358393476337073,0.013949204772234226,0.006476898224745025,0.9869868059322502,571.0,"{'neutral': 568, 'sad': 2, 'angry': 1}",0.005253940455341506,5,5,21,2,38,705,182159.2432216213,1614.114193751407,6.247009410388643
session_1777276605346_3wzm64pww,109,inline,1777276605346,64,False,105976,105.976,2,2,1.0,52988.0,-0.13756806577309283,0.13711669578045313,-0.399497228335978,0.14571282821998466,0.34641594145234134,0.998741695867535,693.0,"{'neutral': 476, 'sad': 214, 'surprised': 3}",0.3088023088023088,5,4,24,2,66,1285,430188.70798076864,3850.769439920947,11.50248399946292
session_1777277063645_tatpywywa,102,modal,1777277063645,48,False,122550,122.55,2,2,1.0,61275.0,-0.0029105325487435844,0.04461017206488783,-0.26607559699433325,0.774856386658456,0.01317974293632647,0.6666100868823097,693.0,"{'neutral': 689, 'happy': 2, 'surprised': 1, 'sad': 1}",0.001443001443001443,5,4,18,2,33,814,213662.3817349621,1635.6052248680423,6.231245024190091
